year,drug_name,drug_link,drug_info,indication,stn,manufacturer,manufacturer_info,license_num,approval_date,biologics_id
1996,Source Plasma,,,For further manufacture,,Clinical Research Technologies,"Clinical Research Technologies12095 W. Washington BoulevardLos Angeles, CA 90066License 1217",1217,1996-12-11,31
1996,UBI HIV 1/2 EIA,,Human Immuno-deficiency test to detect Virus Types 1 & 2,In vitro diagnostic antibodies to HIV 1/2 in human serum or plasma,,"United Biomedical, Inc","United Biomedical, Inc25 Davids DriveHauppauge, NY 11788License 1079",1079,1996-12-20,32
1996,Cryoprecipitated AHF,,,Transfusion,,Blood Bank of San Bernardino and Riverside Counties,"Blood Bank of San Bernardino and Riverside Counties384 Orange Show RoadSan Bernardino, CA 92412License 0226",0226,1996-12-26,33
1996,Cryoprecipitated AHF,,,Transfusion,,Blood Bank of San Bernardino and Pooled Riverside Counties,"Blood Bank of San Bernardino and Pooled Riverside Counties384 Orange Show RoadSan Bernardino, CA 92412License 0226",0226,1996-12-26,34
1996,Source Plasma,,,For further manufacture,,"Cal Plasma Center, LLC","Cal Plasma Center, LLC105 Chapel DriveLafayette, LA 70506License 1219",1219,1996-12-26,35
1996,Cryoprecipitated AHF,,,Transfusion,,Inova Health Care Services,"Inova Health Care Services3289 Woodburn Road, Suite 10Annandale, VA 22003License 0365",0365,1996-12-26,36
1996,Source Plasma,,,For further manufacture,,"SeraCare, Inc","SeraCare, Inc1925 Century Park East, Suite 1970Los Angeles, CA 90067License 1218",1218,1996-12-26,37
1998,Source Plasma,,,For further manufacture,,"Community Blood Centers of South Florida, Inc","Community Blood Centers of South Florida, Inc 1700 North State Rd 7 Lauderhill, FL 33313 License 0913",0913,1998-01-06,38
1998,Source Plasma,,,For further manufacture,,"Seramed, Inc","Seramed, Inc 780 Park North Blvd Clarkston, GA 30021 License 1237",1237,1998-01-16,39
1998,HTLV-I p21E Antigen,, Human T-Lymphotropic Virus I & II,Shared manufacturing arrangement with Organon Teknika Corp,,Organon Teknika BV,Organon Teknika BV Boseind 15 5281 RM Boxtel NETHERLANDS License 1103,1103,1998-01-17,40
1998,Vironostika HTLV-I & II Microelisa System,, Human T-Lymphotropic Virus I & II,Used for detection of antibodies to HTLV-I/II in human serum or plasma,,Organon Teknika Corp,"Organon Teknika Corp 100 Akzo Avenue Durham, NC 27712 License 0956",0956,1998-01-17,41
1998,Whole Blood,,,Transfusion,,Dept. of Veterans Affairs,"Dept. of Veterans Affairs Medical and Regional Office Center Blood Bank Dept 1 VA Center Togus, ME 04330 License 1240",1240,1998-03-19,42
1998,Tisseel VH Kit,https://wayback.archive-it.org/7993/20170112095433/http://www.fda.gov/BiologicsBloodVaccines/BloodBloodProducts/ApprovedProducts/LicensedProductsBLAs/FractionatedPlasmaProducts/ucm089262.htm,Fibrin Sealant,"Used as an adjunct to hemostasis in surgeries involving cardiopulmonary bypass and treatment of splenic injuries due to blunt or penetrating trauma to the abdomen, when control of bleeding by onventional surgical techniques, including suture, ligature, and cautery, is ineffective or impractical; and for closure of colostomies",,Osterreichisches Institut fur Haemoderivate Ges.m.b.H.,Osterreichisches Institut fur Haemoderivate Ges.m.b.H. Industriestrasse 67 A-1220 Vienna AUSTRIA License 0258,0258,1998-05-01,43
1998,VIPLAS / SD,," Pooled Plasma, Solvent Detergent Treated","For use in the treatment of patients with documented deficiencies of coagulation factors for which there are no concentrate preparations available, including congenital single-factor deficiencies of factors I, V, VII, XI, and XIII, and acquired multiple coagulation factor deficiencies; reversals of warfarin effect; and treatment of patients with thrombotic thrombocytopenic purpura (TTP)",,"V.I. Technologies, Inc","V.I. Technologies, Inc 155 Duryea Road P.O. Box 5119 Melville, NY 11747 License 0386",0386,1998-05-06,44
1998,Source Plasma,,,For further manufacture,,"V.I. Technologies, Inc","V.I. Technologies, Inc 155 Duryea Road P.O. Box 5119 Melville, NY 11747 License 0386",0386,1998-05-12,45
1998,Source Plasma,,,For further manufacture,,"International Enzymes, Inc","International Enzymes, Inc 1432-B South Mission Road Fallsbrook, CA 92028 License 1243",1243,1998-05-27,46
1998,Source Leukocytes,,,For further manufacture,,San Diego Blood Bank,"San Diego Blood Bank 440 Upas Street San Diego, CA 92103 License 0201",0201,1998-06-26,47
1998,CERTIVA,, Diphtheria & Tetanus Toxoids & Acellular Pertussis Vaccine Adsorbed,For the active immunization of persons 6 weeks to 7 years of age (prior to the seventh birthday),,"North American Vaccine, Inc","North American Vaccine, Inc 12103 Indian Creek Court Beltsville, MD 20705 License 1254",1254,1998-07-29,48
1998,Diphtheria Toxoid Concentrate (For Further Manufacturing Use),,,"For further manufacture under shared arrangement with North American Vaccine, Inc",,Statens Seruminstitut,"Statens Seruminstitut 5, Artillerivej DK-2300 Copenhagen S DENMARK License 1255",1255,1998-07-29,49
1998,Tetanus Toxoid Concentrate (For Further Manufacturing Use),,,"For further manufacture under shared arrangement with North American Vaccine, Inc",,Statens Seruminstitut,"Statens Seruminstitut 5, Artillerivej DK-2300 Copenhagen S DENMARK License 1255",1255,1998-07-29,50
1998,Source Plasma,,,For further manufacture,,San Diego Blood Bank,"San Diego Blood Bank 440 Upas Street San Diego, CA 92103 License 0201",0201,1998-08-19,51
1998,RotaShield,," Rotovarus Vaccine, Live, Oral, Tetravalent","Primary immunization of infants at 2, 4, and 6 months of age",,"Wyeth Laboratories, Inc","Wyeth Laboratories, Inc Wasp & Biddle Streets P.O. Box 34 Marietta, PA 17547 License 0003",0003,1998-08-31,52
1998,Cryoprecipitated AHF,,,Transfusion,,"Northern Illinois Blood Bank, Inc","Northern Illinois Blood Bank, Inc 419 North Sixth Street Rockford, IL 61107 License 0249",0249,1998-09-01,53
1998,Red Blood Cells,,,Transfusion,,"Arizona Blood Institute, Inc","Arizona Blood Institute, Inc 3915 East Broadway Blvd Tucson, AZ 86711 License 1225",1225,1998-10-08,54
1998,Source Plasma,,,For further manufacture,,"West Tennessee Regional Blood Center, Inc","West Tennessee Regional Blood Center, Inc 828 North Parkway Jackson, TN 38305 License 0170",0170,1998-11-04,55
1998,Whole Blood,,,Transfusion,,Central Illinois Community,"Central Illinois Community Blood Bank 1134 South Seventh Street Springfield, IL 62703 License 1263",1263,1998-12-17,56
1998,Red Blood Cells,,,Transfusion,,Central Illinois Community,"Central Illinois Community Blood Bank 1134 South Seventh Street Springfield, IL 62703 License 1263",1263,1998-12-17,57
1998,Platelets,,,Transfusion,,Central Illinois Community,"Central Illinois Community Blood Bank 1134 South Seventh Street Springfield, IL 62703 License 1263",1263,1998-12-17,58
1998,LYMErix,, Lyme Disease Vaccine (Recombinant OspA),Active immunization against Lyme disease in individuals aged 15-70 years,,SmithKline Beecham Biologicals,SmithKline Beecham Biologicals Rue de l'Institut 89 B-1330 Rixensart BELGIUM License 1090,1090,1998-12-21,59
1998,Whole Blood,,,Transfusion,,"Gateway Community Blood Program, Inc","Gateway Community Blood Program, Inc 1800 Craigshire Drive St. Louis, MO 63146-4006 License 1264",1264,1998-12-24,60
1998,Red Blood Cells,,,Transfusion,,"Gateway Community Blood Program, Inc","Gateway Community Blood Program, Inc 1800 Craigshire Drive St. Louis, MO 63146-4006 License 1264",1264,1998-12-24,61
1998,Plasma,,,Transfusion,,"Gateway Community Blood Program, Inc","Gateway Community Blood Program, Inc 1800 Craigshire Drive St. Louis, MO 63146-4006 License 1264",1264,1998-12-24,62
1998,Platelets,,,Transfusion,,"Gateway Community Blood Program, Inc","Gateway Community Blood Program, Inc 1800 Craigshire Drive St. Louis, MO 63146-4006 License 1264",1264,1998-12-24,63
1998,Thymoglobulin,https://wayback.archive-it.org/7993/20170112095433/http://www.fda.gov/BiologicsBloodVaccines/BloodBloodProducts/ApprovedProducts/LicensedProductsBLAs/FractionatedPlasmaProducts/ucm089341.htm,Anti-thymocyte Globulin (Rabbit),Treatment of acute rejection in renal transplant patients,,"Pasteur Meriex Serums et Vaccins, S.A.","Pasteur Meriex Serums et Vaccins, S.A. 58 Avenue Leclerc 69007 Lyon FRANCE License 0384",0384,1998-12-30,64
1999,Plasma,,,Transfusion,,"Winter Haven Hospital, Inc","Winter Haven Hospital, Inc 460 First Street, North Winter Haven, FL 33881 License 1266",1266,1999-02-05,65
1999,Red Blood Cells,,,Transfusion,,"Winter Haven Hospital, Inc","Winter Haven Hospital, Inc 460 First Street, North Winter Haven, FL 33881 License 1266",1266,1999-02-05,66
1999,Whole Blood,,,Transfusion,,"Winter Haven Hospital, Inc","Winter Haven Hospital, Inc 460 First Street, North Winter Haven, FL 33881 License 1266",1266,1999-02-05,67
1999,Nabi-HB,https://wayback.archive-it.org/7993/20170112095422/http://www.fda.gov/BiologicsBloodVaccines/BloodBloodProducts/ApprovedProducts/LicensedProductsBLAs/FractionatedPlasmaProducts/ucm089378.htm,Hepatitis B Immune Globulin (Human),"Treatment of acute exposure to HbsAg, perinatal exposure of infants born to HbsAg-positive mothers, sexual exposure to HbsAg-positive persons and household exposure of infants to persons with acute HBV infection",,Nabi,"Nabi P.O. Box 310701 Boca Raton, FL 33431-0701 License 1022",1022,1999-03-24,68
1999,NovoSeven,https://wayback.archive-it.org/7993/20170112095422/http://www.fda.gov/BiologicsBloodVaccines/BloodBloodProducts/ApprovedProducts/LicensedProductsBLAs/FractionatedPlasmaProducts/ucm089228.htm,Coagulation Factor VIIa (Recombinant),Treatment of bleeding episodes in hemophilia A or B patients with inhibitors to Factor VIII or Factor IX,,Novo Nordisk A/S,Novo Nordisk A/S Novo Alle DK-2880 Bagsvaerd DENMARK License 1261,1261,1999-03-25,69
1999,Humate-P,https://wayback.archive-it.org/7993/20170112095422/http://www.fda.gov/BiologicsBloodVaccines/BloodBloodProducts/ApprovedProducts/LicensedProductsBLAs/FractionatedPlasmaProducts/ucm089147.htm,Antihemophilic Factor/von Willebrand Factor Complex (Human),Used in adult patients for treatment and prevention of bleeding in hemophilia A (classic hemophilia); in adult and pediatric patients for treatment of spontaneous and trauma-induced bleeding episodes in severe von Willebrand disease; and in mild and moderate von Willebrand disease where use of desmopressin is known or suspected to be inadequate,,Centeon Pharma GmbH,Centeon Pharma GmbH P.O. Box 1230 D-35002 Marburg GERMANY License 1202,1202,1999-04-01,70
1999,Cryoprecipitated AHF,,,Transfusion,,"Sarasota Community Blood Bank, Inc","Sarasota Community Blood Bank, Inc 1760 Mound Street Sarasota, FL 34236-7761 License 1122",1122,1999-06-14,71
1999,Plasma,,,Transfusion,,"Marathon County Blood Bank, Inc","Marathon County Blood Bank, Inc 404 South 3rd Avenue Wausau, WI 54401 License 1093",1093,1999-07-16,72
1999,Cryoprecipitated AHF,,,Transfusion,,Northern California Community Blood Bank,"Northern California Community Blood Bank 2524 Harrison Avenue Eureka, CA 95501 License 0230",0230,1999-07-28,73
1999,Cryoprecipitated AHF,,,Transfusion,,Central California Blood Center,"Central California Blood Center 3445 North First Street Fresno, CA 93726 License 0315",0315,1999-08-12,74
1999,Source Plasma,,,For further manufacture,,"DCI Biologicals Bryan, Inc","DCI Biologicals Bryan, Inc 1706 South 2nd St Gallup, NM 87301 License 1275",1275,1999-08-13,75
1999,Plasma,,,Transfusion,,Northern California Community Blood Bank,"Northern California Community Blood Bank 2524 Harrison Avenue Eureka, CA 95501 License 0230",0230,1999-08-16,76
1999,Platelets,,,Transfusion,,"Marathon County Blood Bank, Inc","Marathon County Blood Bank, Inc 404 South Third Avenue Wausau, WI 54401-4639 License 1093",1093,1999-09-17,77
1999,Plasma,,,Transfusion,,Community Blood Center Of the Ozarks,"Community Blood Center Of the Ozarks 2230 S. Glenstone Springfield, MO 65804 License 1276",1276,1999-12-17,78
1999,Cryoprecipitated AHF,,,Transfusion,,Community Blood Center Of the Ozarks,"Community Blood Center Of the Ozarks 2230 S. Glenstone Springfield, MO 65804 License 1276",1276,1999-12-17,79
1999,Red Blood Cells,,,Transfusion,,Community Blood Center Of the Ozarks,"Community Blood Center Of the Ozarks 2230 S. Glenstone Springfield, MO 65804 License 1276",1276,1999-12-17,80
1999,Whole Blood,,,Transfusion,,Community Blood Center,"Community Blood Center Of the Ozarks 2230 S. Glenstone Springfield, MO 65804 License 1276",1276,1999-12-17,81
1999,Platelets,,,Transfusion,,Community Blood Center Of the Ozarks,"Community Blood Center Of the Ozarks 2230 S. Glenstone Springfield, MO 65804 License 1276",1276,1999-12-17,82
1999,Source Plasma,,,For further manufacture,,"PlasmaCare, Inc","PlasmaCare, Inc 1128 Main Street Cincinnati, OH 45210 License 1278",1278,1999-12-30,83
2000,Prevnar,https://wayback.archive-it.org/7993/20170112095411/http://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm094057.htm,Pneumococcal 7-valent Conjugate Vaccine (Diphtheria CRM197 Protein),"Immunization of infants 2, 4, 6 and 12-15 months of age to prevent invasive pneumococcal disease",,Lederle Laboratories Division,"Lederle Laboratories Division American Cyanamid Company 401 N. Middletown Road Pearl River, NY 10965 License 0017",0017,2000-02-17,84
2000,ReFacto,https://wayback.archive-it.org/7993/20170112095411/http://www.fda.gov/BiologicsBloodVaccines/BloodBloodProducts/ApprovedProducts/LicensedProductsBLAs/FractionatedPlasmaProducts/ucm089061.htm,Antihemophilic Factor (Recombinant),Control and prevention of hemorrhagic episodes and for short-term routine and surgical prophylaxis in patients with hemophilia A,,"Genetics Institute, Inc","Genetics Institute, Inc One Burtt Road Andiver, MA 01810-5901 License 1163",1163,2000-03-06,85
2000,PACIS,," BCG, Live",Treatment of carcinoma-in-situ (CIS) in the absence of associated invasive cancer of the bladder,,BioChem Pharma Inc,"BioChem Pharma Inc 2323 Parc Technologique Blvd Sainte-Foy, Quebec Canada License 1283",1283,2000-03-09,86
2000,Plasma,,,Transfusion,,"Rex Hospital, Inc","Rex Hospital, Inc 4420 Lake Boone Trail Raleigh, NC License 0748",0748,2000-03-10,87
2000,Platelets,,,Transfusion,,"Rex Hospital, Inc","Rex Hospital, Inc 4420 Lake Boone Trail Raleigh, NC License 0748",0748,2000-03-10,88
2000,ID Micro Typing Systems,, Anti-D (Human Monoclonal) (IgM),"In vitro test/antigen detection; monoclonal antibody, derived from the MS-201 cell line, in MTS Gel Cards under a shared manufacturing agreement with Serologicals Ltd",103791/0,"Micro Typing Systems, Inc","Micro Typing Systems, Inc 1295 S.W. 29th Avenue Pompano Beach, Fl License 1177",1177,2000-09-21,89
2000,ID Micro Typing Systems,, Anti-A (Murine Monoclonal),"In vitro test/antigen detection; monoclonal antibody, derived from the BIRMA-1 cell line, in MTS Gel Cards under a shared manufacturing agreement with Serologicals Ltd",103787/0,"Micro Typing Systems, Inc","Micro Typing Systems, Inc 1295 S.W. 29th Avenue Pompano Beach, Fl License 1177",1177,2000-09-21,90
2000,ID Micro Typing Systems,, Anti-B (Murine Monoclonal),"In vitro test/antigen detection; monoclonal antibody, derived from the LB-2 cell line, in MTS Gel Cards under a shared manufacturing agreement with Serologicals Ltd",103789/0,"Micro Typing Systems, Inc","Micro Typing Systems, Inc 1295 S.W. 29th Avenue Pompano Beach, Fl License 1177",1177,2000-09-21,91
2000,ID Micro Typing Systems,," Anti-A and B (Murine Monoclonal); Anti-A,B (Murine Monoclonal)","In vitro test/antigen detection; monoclonal antibody, derived from the ES-15 & ES-4 cell lines, in MTS Gel Cards under a shared manufacturing agreement with Serologicals Ltd",103790/0,"Micro Typing Systems, Inc","Micro Typing Systems, Inc 1295 S.W. 29th Avenue Pompano Beach, Fl License 1177",1177,2000-09-21,92
2000,Crofab,https://wayback.archive-it.org/7993/20170112095411/http://www.fda.gov/BiologicsBloodVaccines/BloodBloodProducts/ApprovedProducts/LicensedProductsBLAs/FractionatedPlasmaProducts/ucm089343.htm,Crotalidae Polyvalent Immune Fab (Ovine),Treatment of minimal and moderate North American Crotalidae envenomation,103788/0,"Protherics, Inc","Protherics, Inc (a wholly-owned subsidiary of Protherics PLC) 1207 17 th Avenue S, Suite 103 Nashville, TN 37212 License 1575",1575,2000-10-02,93
2001,Multiple Products:,, Human Blood and Blood Components,Transfusion/For Further Manufacture,125026/0,"DCI Biologicals Flagstaff, Inc","DCI Biologicals Flagstaff, Inc 1706 South 2nd Street Gallup, NM 87301 License 1612",1612,2001-01-17,94
2001,Multiple Products:,, Human Blood and Blood Components,Transfusion/For Further Manufacture,103903/0,"DCI Biologicals Orlando, Inc","DCI Biologicals Orlando, Inc 22 West Lake Beauty Drive Orlando, FL 32806 License 1286",1286,2001-01-19,95
2001,TWINRIX,https://wayback.archive-it.org/7993/20170112095404/http://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm094035.htm,Hepatitis A Inactivated and Hepatitis B (Recombinant) Vaccine,Active immunization of persons 18 years of age or older against disease caused by hepatitis A virus and infection by all known subtypes of hepatitis B virus,103850/0,SmithKline Beecham Biologicals,"SmithKline Beecham Biologicals 89, Rue de l'Institut B-1330 Rixensart BELGIUM License 1090",1090,2001-05-11,96
2001,Multiple Products:,, Human Blood and Blood Components,Transfusion / For Further Manufacture,103952/0,Coral Blood Services,"Coral Blood Services 300 Professional Drive Scarborough, ME 04074 License 1590",1590,2001-05-22,97
2001,Multiple Products:,, Human Blood and Blood Components,Transfusion / For Further Manufacture,103965/0,"DCI Biologicals Nacogdoches, Inc","DCI Biologicals Nacogdoches, Inc 1706 S. 2nd Street Gallup, NM 87301 License 1591",1591,2001-07-10,98
2001,DigiFab,https://wayback.archive-it.org/7993/20170112095404/http://www.fda.gov/BiologicsBloodVaccines/BloodBloodProducts/ApprovedProducts/LicensedProductsBLAs/FractionatedPlasmaProducts/ucm089336.htm,Digoxin Immune Fab (Ovine),Treatment of patients with life-threatening or potentially life-threatening digoxin toxicity or overdose,103910/0,Protherics Inc,"Protherics Inc 1207 17th Avenue S., Suite 103 Nashville, TN 37212 License 1575",1575,2001-08-31,99
2001,UltraQual HCV RT-PCR Assay,https://wayback.archive-it.org/7993/20170112095404/http://www.fda.gov/BiologicsBloodVaccines/BloodBloodProducts/ApprovedProducts/LicensedProductsBLAs/BloodDonorScreening/InfectiousDisease/ucm148187.htm,Hepatitis C Virus Reverse Transcriptase Polymerase Chain Reaction (PCR) Assay,A nucleic acid test used to detect HCV-RNA in pooled human Source Plasma,103868/0,National Genetics Institute,"National Genetics Institute 2440 S. Sepulveda Blvd #130 Los Angeles, CA 90064 License 1582",1582,2001-09-18,100
2001,UltraQual,https://wayback.archive-it.org/7993/20170112095404/http://www.fda.gov/BiologicsBloodVaccines/BloodBloodProducts/ApprovedProducts/LicensedProductsBLAs/BloodDonorScreening/InfectiousDisease/ucm148187.htm, HIV-1 RT-PCR Assay Human Immunodeficiency Type 1 Virus Reverse Transcriptase Polymerase Chain Reaction (PCR) Assay,A nucleic acid test used to detect HIV-1-RNA in pooled human Source Plasma,103902/0,National Genetics Institute,"National Genetics Institute 2440 S. Sepulveda Blvd #130 Los Angeles, CA 90064 License 1582",1582,2001-09-18,101
2001,Multiple Products:,, Human Blood and Blood Components,Transfusion/For Further Manufacture,103793/0,Central Pennsylvania Blood Bank,"Central Pennsylvania Blood Bank Liberty Centre Office Complex 8170 Adams Drive, Suite 100 Hummelstown, PA 17036 License 1576",1576,2001-10-12,102
2001,Nabi-HB,https://wayback.archive-it.org/7993/20170112095404/http://www.fda.gov/BiologicsBloodVaccines/BloodBloodProducts/ApprovedProducts/LicensedProductsBLAs/FractionatedPlasmaProducts/ucm089378.htm,Hepatitis B Immune Globulin (Human),"Treatment of acute exposure to HBsAg following acute exposure to blood containing HBsAg, perinatal exposure of infants born to HBsAg-positive mothers, sexual exposure to HBsAg-positive persons, and household exposure of infants to persons with acute hepatitis B virus infection",103945/0,Nabi,"Nabi 5800 Park of Commerce Blvd, NW Boca Raton, FL 33487 License 1022",1022,2001-10-23,103
2001,Multiple Products:,, Human Blood and Blood Components,Transfusion/For Further Manufacture,125040/0,"Price Hill Blood Plasma, Inc","Price Hill Blood Plasma, Inc 3711 Warsaw Avenue Cincinnati, OH 45210 License 1621",1621,2001-12-04,104
2002,Procleix,https://wayback.archive-it.org/7993/20170112095354/http://www.fda.gov/BiologicsBloodVaccines/BloodBloodProducts/ApprovedProducts/LicensedProductsBLAs/BloodDonorScreening/InfectiousDisease/ucm092022.htm,HIV-1 / HCV Assay,Assay for the qualitative detection of human immunodeficiency virus type 1 and/or hepatitis C virus RNA in human plasma from donations of whole blood and blood components for transfusion,103966/0,"Gen-Probe, Inc","Gen-Probe, Inc 10210 Genetic Center Drive San Diego, CA 92121 License 1592",1592,2002-02-27,105
2002,DAPTACEL,https://wayback.archive-it.org/7993/20170112095354/http://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm101572.htm,Diphtheria & Tetanus Toxoids & Acellular Pertussis Vaccine Adsorbed (DTaP),"Active immunization of infants and toddlers at 2, 4, 6, and 17-20 months of age against diphtheria, tetanus and pertussis",103666/0,Aventis Pasteur Ltd,"Aventis Pasteur Ltd 1755 Steeles Avenue West Toronto, Ontario M2R 3T4 CANADA License 1280",1280,2002-05-14,106
