year,year_approval_count,drug_name,active_ingredient,approval_date,approved_use,drug_link,press_release,drug_trials_snapshot
2012,11,Elelyso,taliglucerase alfa,2012-05-01,"For long-term enzyme replacement therapy to treat a form of Gaucher disease, a rare genetic disorderPress Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=022458&SearchType=BasicSearch,,
2012,12,Perjeta,pertuzumab,2012-06-08,To treat patients with HER2-positive late-stage (metastatic) breast cancer.Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=125409&SearchType=BasicSearch,,
2012,13,Belviq,lorcaserin hydrochloride,2012-06-27,For chronic weight management.Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=022529&SearchType=BasicSearch,,
2012,14,Myrbetriq,mirabegron,2012-06-28,To treat adults with overactive bladder.Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202611&SearchType=BasicSearch,,
2012,15,Prepopik,"sodium picosulfate, magnesium oxide and citric acid",2012-07-16,To help cleanse the colon in adults preparing for colonoscopy.Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202535&SearchType=BasicSearch,,
2012,16,Kyprolis,carfilzomib,2012-07-20,"To treat patients with multiple myeloma who have received at least two prior therapies, including treatment with Velcade (bortezomib) and an immunomodulatory.Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202714&SearchType=BasicSearch,,
2012,17,Tudorza Pressair,aclidinium bromide,2012-07-23,"For the long-term maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and emphysema. Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202450&SearchType=BasicSearch,,
2012,18,Zaltrap,ziv-aflibercept,2012-08-03,"For use in combination with a FOLFIRI (folinic acid, fluorouracil and irinotecan) chemotherapy regimen to treat adults with colorectal cancer. Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=125418&SearchType=BasicSearch,,
2012,19,Stribild,"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate",2012-08-27,A once-a-day combination pill to treat HIV-1 infection in adults who have never been treated for HIV infection.Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203100&SearchType=BasicSearch,,
2012,20,Neutroval,tbo-filgrastim,2012-08-29,"To reduce the time certain patients receiving cancer chemotherapy experience severe neutropenia, a decrease in infection-fighting white blood cells called neutrophils.Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=125294&SearchType=BasicSearch,,
2012,21,Linzess,linaclotide,2012-08-30,To treat chronic idiopathic constipation and to treat irritable bowel syndrome with constipation (IBS-C) in adults. Press Release,,,
2012,22,Xtandi,enzalutamide,2012-08-31,"To treat men with late-stage (metastatic) castration-resistant prostate cancer that has spread or recurred, even with medical or surgical therapy to minimize testosterone.Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203415&SearchType=BasicSearch,,
2012,23,Bosulif,bosutinib,2012-09-04,"To treat chronic myelogenous leukemia (CML), a blood and bone marrow disease that usually affects older adults.Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203341&SearchType=BasicSearch,,
2012,24,Aubagio,teriflunomide,2012-09-12,For the treatment of adults with relapsing forms of multiple sclerosis (MS).Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202992&SearchType=BasicSearch,,
2012,25,Choline C 11 Injection,Choline C 11 Injection,2012-09-12,A Positron Emission Tomography (PET) imaging agent used to help detect recurrent prostate cancer.Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203155&SearchType=BasicSearch,,
2012,26,Stivarga,regorafenib,2012-09-27,To treat patients with colorectal cancer that has progressed after treatment and spread to other parts of the body (metastatic).Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203085&SearchType=BasicSearch,,
2012,27,Jetrea,ocriplasmin,2012-10-17,To treat an eye condition called symptomatic vitreomacular adhesion (VMA).Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=125422&SearchType=BasicSearch,,
2012,28,Fycompa,perampanel,2012-10-22,To treat partial onset seizures in patients with epilepsy ages 12 years and older.Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202834&SearchType=BasicSearch,,
2012,29,Synribo,omacetaxine mepesuccinate,2012-10-26,"To treat adults with chronic myelogenous leukemia (CML), a blood and bone marrow disease.Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203585&SearchType=BasicSearch,,
2012,30,Xeljanz,tofacitinib,2012-11-06,"To treat adults with moderately to severely active rheumatoid arthritis (RA) who have had an inadequate response to, or who are intolerant of, methotrexate.Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203214&SearchType=BasicSearch,,
2012,31,Cometriq,cabozantinib,2012-11-29,To treat medullary thyroid cancer that has spread to other parts of the body (metastasized).Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203756&SearchType=BasicSearch,,
2012,32,Iclusig,ponatinib,2012-12-14,"To treat adults with chronic myeloid leukemia (CML) and Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ ALL), two rare blood and bone marrow diseases.Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203469&SearchType=BasicSearch,,
2012,33,raxibacumab,raxibacumab,2012-12-14,"To treat inhalational anthrax, a form of the infectious disease caused by breathing in the spores of the bacterium Bacillus anthracis. Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=125349&SearchType=BasicSearch,,
2012,34,Signifor,pasereotide,2012-12-14,To treat Cushing’s disease patients who cannot be helped through surgeryPress Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=200677&SearchType=BasicSearch,,
2012,35,Gattex,teduglutide,2012-12-21,To treat adults with short bowel syndrome (SBS) who need additional nutrition from intravenous feeding (parenteral nutrition).Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203441&SearchType=BasicSearch,,
2012,36,Juxtapid,lomitapide,2012-12-21,"To reduce low-density lipoprotein (LDL) cholesterol, total cholesterol, apolipoprotein B, and non-high-density lipoprotein (non-HDL) cholesterol in patients with homozygous familial hypercholesterolemia (HoFH). Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203858&SearchType=BasicSearch,,
2012,37,Eliquis,apixaban,2012-12-28,To reduce the risk of stroke and dangerous blood clots (systemic embolism) in patients with atrial fibrillation that is not caused by a heart valve problem.Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202155&SearchType=BasicSearch,,
2012,38,Sirturo,bedaquiline,2012-12-28,As part of combination therapy to treat adults with multi-drug resistant pulmonary tuberculosis (TB) when other alternatives are not available.Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=204384&SearchType=BasicSearch,,
2012,39,Fulyzaq,crofelemer,2012-12-31,"To treat HIV/AIDS patients whose diarrhea is not caused by an infection from a virus, bacteria, or parasite. Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202292&SearchType=BasicSearch,,
2013,1,Nesina,alogliptin,2013-01-25,To improve blood sugar control in adults with type 2 diabetes.Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=022271&SearchType=BasicSearch,,
2013,2,Kynamro,mipomersen sodium,2013-01-29,To treat patients with a rare type of high cholesterol called homozygous familial hypercholesterolemia (HoFH). Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203568&SearchType=BasicSearch,,
2013,3,Pomalyst,pomalidomide,2013-02-08,To treat patients with multiple myeloma whose disease progressed after being treated with other cancer drugs.Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=204026&SearchType=BasicSearch,,
2013,4,Kadcyla,ado-trastuzumab emtansine,2013-02-22,"For patients with HER2-positive, late-stage (metastatic) breast cancer.Press Release",http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=125427&SearchType=BasicSearch,,
2013,5,Osphena,ospemifene,2013-02-26,"To treat women experiencing moderate to severe dyspareunia (pain during sexual intercourse), a symptom of vulvar and vaginal atrophy due to menopause.Press Release",http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203505&SearchType=BasicSearch,,
2013,6,Lymphoseek,technetium Tc 99m tilmanocept,2013-03-13,A radioactive diagnostic imaging agent that helps doctors locate lymph nodes in patients with breast cancer or melanoma who are undergoing surgery to remove tumor-draining lymph nodes.Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202207&SearchType=BasicSearch,,
2013,7,Dotarem,gadoterate meglumine,2013-03-20,"For use in magnetic resonance imaging (MRI) of the brain, spine and associated tissues of patients ages 2 years and older.Press Release",http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=204781&SearchType=BasicSearch,,
2013,8,Tecfidera,dimethyl fumarate,2013-03-27,To treat adults with relapsing forms of multiple sclerosis (MS).Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=204063&SearchType=BasicSearch,,
2013,9,Invokana,canagliflozin,2013-03-29,"Used with diet and exercise, to improve glycemic control in adults with type 2 diabetes.Press Release",http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=204042&SearchType=BasicSearch,,
2013,10,Breo Ellipta,fluticasone furoate and vilanterol inhalation powder,2013-05-10,"For the long-term, once-daily, maintenance treatment of airflow obstruction in patients with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and/or emphysema.Press Release",http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=204275&SearchType=BasicSearch,,
2013,11,Xofigo,radium Ra 223 dichloride,2013-05-15,To treat men with symptomatic late-stage (metastatic) castration-resistant prostate cancer that has spread to bones but not to other organs.Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203971&SearchType=BasicSearch,,
2013,12,Tafinlar,dabrafenib,2013-05-29,To treat patients with melanoma whose tumors express the BRAF V600E gene mutation.Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202806&SearchType=BasicSearch,,
2013,13,Mekinist,trametinib,2013-05-29,To treat patients whose tumors express the BRAF V600E or V600K gene mutations. Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=204114&SearchType=BasicSearch,,
2013,14,Gilotrif,afatinib,2013-07-12,"For patients with late stage (metastatic) non-small cell lung cancer (NSCLC) whose tumors express specific types of epidermal growth factor receptor (EGFR) gene mutations, as detected by an FDA-approved test. Press Release",http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=201292&SearchType=BasicSearch,,
2013,15,Tivicay,dolutegravir,2013-08-12,To treat HIV-1 infection.Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=204790&SearchType=BasicSearch,,
2013,16,Brintellix,vortioxetine,2013-09-30,To treat adults with major depressive disorder.Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=204447&SearchType=BasicSearch,,
2013,17,Duavee,conjugated estrogens/bazedoxifene,2013-10-03,To treat moderate-to-severe hot flashes (vasomotor symptoms) associated with menopause and to prevent osteoporosis after menopause.Web Posting,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=022247&SearchType=BasicSearch,,
2013,18,Adempas,riociguat,2013-10-08,To treat adults with two forms of pulmonary hypertension.Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=204819&SearchType=BasicSearch,,
2013,19,Opsumit,macitentan,2013-10-18,"To treat adults with pulmonary arterial hypertension (PAH), a chronic, progressive and debilitating disease that can lead to death or the need for lung transplantation.Press Release",http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=204410&SearchType=BasicSearch,,
2013,20,Vizamyl,flutemetamol F 18 injection,2013-10-25,A radioactive diagnostic drug for use with positron emission tomography (PET) imaging of the brain in adults being evaluated for Alzheimer's disease (AD) and dementia.Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203137&SearchType=BasicSearch,,
2013,21,Gazyva,obinutuzumab,2013-11-01,For use in combination with chlorambucil to treat patients with previously untreated chronic lymphocytic leukemia (CLL).Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=125486&SearchType=BasicSearch,,
2013,22,Aptiom,eslicarbazepine acetate,2013-11-08,As an add-on medication to treat seizures associated with epilepsy.Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=022416&SearchType=BasicSearch,,
2013,23,Imbruvica,ibrutinib,2013-11-13,"To treat patients with mantle cell lymphoma (MCL), a rare and aggressive type of blood cancer.Press Release",http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=205552&SearchType=BasicSearch,,
2013,24,Luzu,luliconozole,2013-11-14,"For the topical treatment of interdigital tinea pedis, tinea cruris, and tinea corporis caused by the organisms Trichophyton rubrum and Epidermophyton floccosum, in patients 18 years of age and older.",http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=204153&SearchType=BasicSearch,,
2013,25,Olysio,simeprevir,2013-11-22,To treat chronic hepatitis C virus infection.Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=205123&SearchType=BasicSearch,,
2013,26,Sovaldi,sofosbuvir,2013-12-06,To treat chronic hepatitis C virus (HCV) infection.Press Release,http://wayback.archive-it.org/7993/20161022052135/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=204671&SearchType=BasicSearch,,
2013,27,Anoro Ellipta,umeclidinium and vilanterol inhalation powder,2013-12-18,"For the once-daily, long-term maintenance treatment of airflow obstruction in patients with chronic obstructive pulmonary disease (COPD).Press Release",,,
2014,1,Farxiga,dapaglifozin,2014-01-08,"To improve glycemic control, along with diet and exercise, in adults with type 2 diabetesPress Release",http://wayback.archive-it.org/7993/20161022052129/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.Set_Current_Drug&ApplNo=202293&DrugName=FARXIGA&ActiveIngred=DAPAGLIFLOZIN&SponsorApplicant=BRISTOL%20MYERS%20SQUIBB&ProductMktStatus=1&goto=Search.DrugDetails,,
2014,2,Hetlioz,tasimelteon,2014-01-31,To treat non-24- hour sleep-wake disorder (“non-24”) in totally blind individuals. Non-24 is a chronic circadian rhythm (body clock) disorder in the blind that causes problems with the timing of sleep.Press Release,http://wayback.archive-it.org/7993/20161022052129/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.Set_Current_Drug&ApplNo=205677&DrugName=HETLIOZ&ActiveIngred=TASIMELTEON&SponsorApplicant=VANDA%20PHARMACEUTICALS%20INC&ProductMktStatus=1&goto=Search.DrugDetails,,
2014,3,Vimizim,elosulfase alfa,2014-02-14,Treatment for Mucopolysaccharidosis Type IVA (Morquio A syndrome)Press Release,http://wayback.archive-it.org/7993/20161022052129/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.Set_Current_Drug&ApplNo=125460&DrugName=VIMIZIM&ActiveIngred=ELOSULFASE%20ALFA&SponsorApplicant=BIOMARIN%20PHARM&ProductMktStatus=1&goto=Search.DrugDetails,,
2014,4,Northera,droxidopa,2014-02-18,To treat neurogenic orthostatic hypotension (NOH)Press Release,http://wayback.archive-it.org/7993/20161022052129/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.Set_Current_Drug&ApplNo=203202&DrugName=NORTHERA&ActiveIngred=DROXIDOPA&SponsorApplicant=CHELSEA%20THERAPS%20INC&ProductMktStatus=1&goto=Search.DrugDetails,,
2014,5,Myalept,metreleptin for injection,2014-02-24,To treat the complications of leptin deficiencyPress Release,http://wayback.archive-it.org/7993/20161022052129/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.Set_Current_Drug&ApplNo=125390&DrugName=MYALEPT&ActiveIngred=METRELEPTIN&SponsorApplicant=AMYLIN%20PHARMS%20LLC&ProductMktStatus=1&goto=Search.DrugDetails,,
2014,6,Neuraceq,florbetaben F 18 injection,2014-03-19,For Positron EmissionTomography (PET) imaging of the brain,http://wayback.archive-it.org/7993/20161022052129/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.Set_Current_Drug&ApplNo=204677&DrugName=NEURACEQ&ActiveIngred=FLORBETABEN%20F%2D18&SponsorApplicant=PIRAMAL%20IMAGING&ProductMktStatus=1&goto=Search.DrugDetails,,
2014,7,Impavido,miltefosine,2014-03-19,To treat a tropical disease called leishmaniasisPress Release,http://wayback.archive-it.org/7993/20161022052129/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.Set_Current_Drug&ApplNo=204684&DrugName=IMPAVIDO&ActiveIngred=MILTEFOSINE&SponsorApplicant=PALADIN%20THERAP&ProductMktStatus=1&goto=Search.DrugDetails,,
2014,8,Otezla,apremilast,2014-03-21,To treat adults with active psoriatic arthritis (PsA)Press Release,http://wayback.archive-it.org/7993/20161022052129/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.Set_Current_Drug&ApplNo=205437&DrugName=OTEZLA&ActiveIngred=APREMILAST&SponsorApplicant=CELGENE%20CORP&ProductMktStatus=1&goto=Search.DrugDetails,,
2014,9,Tanzeum,albiglutide,2014-04-15,"To improve glycemic control, along with diet and exercise, in adults with type 2 diabetesPress Release",http://wayback.archive-it.org/7993/20161022052129/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.Set_Current_Drug&ApplNo=125431&DrugName=TANZEUM&ActiveIngred=ALBIGLUTIDE&SponsorApplicant=GLAXOSMITHKLINE%20LLC&ProductMktStatus=1&goto=Search.DrugDetails,,
2014,10,Cyramza,ramucirumab,2014-04-21,To treat patients with advanced stomach cancer or gastroesophageal junction adenocarcinomaPress Release,http://wayback.archive-it.org/7993/20161022052129/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.Set_Current_Drug&ApplNo=125477&DrugName=CYRAMZA&ActiveIngred=RAMUCIRUMAB&SponsorApplicant=ELI%20LILLY%20AND%20CO&ProductMktStatus=1&goto=Search.DrugDetails,,
2014,11,Sylvant,siltuximab,2014-04-23,"To treat patients with multicentric Castleman’s disease (MCD), a rare disorder similar to lymphoma (cancer of the lymph nodes)Press Release",http://wayback.archive-it.org/7993/20161022052129/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.Set_Current_Drug&ApplNo=125496&DrugName=SYLVANT&ActiveIngred=SILTUXIMAB&SponsorApplicant=JANSSEN%20BIOTECH&ProductMktStatus=1&goto=Search.DrugDetails,,
2014,12,Zykadia,ceritinib,2014-04-29,To treat patients with a certain type of late-stage (metastatic) non-small cell lung cancer (NSCLC)Press Release,http://wayback.archive-it.org/7993/20161022052129/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.Set_Current_Drug&ApplNo=205755&DrugName=ZYKADIA&ActiveIngred=CERITINIB&SponsorApplicant=NOVARTIS%20PHARMS&ProductMktStatus=1&goto=Search.DrugDetails,,
2014,13,Zontivity,vorapaxar,2014-05-08,To reduce the risk of heart attacks and stroke in high-risk patientsPress Release,http://wayback.archive-it.org/7993/20161022052129/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.Set_Current_Drug&ApplNo=204886&DrugName=ZONTIVITY&ActiveIngred=VORAPAXAR%20SULFATE&SponsorApplicant=MERCK%20SHARP%20DOHME&ProductMktStatus=1&goto=Search.DrugDetails,,
